product_id,title,image,color_options,size_info,original_price,sale_price,discount,limited_offer,additional_info,product_url
E472895-000,Harry Potter UT (Short Sleeve Graphic T-shirt),https://image.uniqlo.com/UQ/ST3/my/imagesgoods/472895/item/mygoods_09_472895.jpg?width=320,1,XS-XXL,59.90,,,,[],https://www.uniqlo.com/my/en/products/E472895-000
E472894-000,Harry Potter UT (Short Sleeve Graphic T-shirt),https://image.uniqlo.com/UQ/ST3/my/imagesgoods/472894/item/mygoods_57_472894.jpg?width=320,1,XS-XXL,59.90,,,,[],https://www.uniqlo.com/my/en/products/E472894-000
E472893-000,Harry Potter UT (Short Sleeve Graphic T-shirt),https://image.uniqlo.com/UQ/ST3/my/imagesgoods/472893/item/mygoods_66_472893.jpg?width=320,1,XS-XXL,59.90,,,,[],https://www.uniqlo.com/my/en/products/E472893-000
E472892-000,Harry Potter UT (Short Sleeve Graphic T-shirt),https://image.uniqlo.com/UQ/ST3/my/imagesgoods/472892/item/mygoods_17_472892.jpg?width=320,1,XS-XXL,59.90,,,,[],https://www.uniqlo.com/my/en/products/E472892-000
E472882-000,Mickey Stands UT (Short Sleeve Graphic T-shirt),https://image.uniqlo.com/UQ/ST3/my/imagesgoods/472882/item/mygoods_00_472882.jpg?width=320,1,XS-XXL,59.90,,,,[],https://www.uniqlo.com/my/en/products/E472882-000
E472879-000,Mickey Stands UT (Short Sleeve Graphic T-shirt),https://image.uniqlo.com/UQ/ST3/my/imagesgoods/472879/item/mygoods_31_472879.jpg?width=320,1,XS-XXL,59.90,,,,[],https://www.uniqlo.com/my/en/products/E472879-000
E472878-000,Mickey Stands UT (Short Sleeve Graphic T-shirt),https://image.uniqlo.com/UQ/ST3/my/imagesgoods/472878/item/mygoods_09_472878.jpg?width=320,1,XS-XXL,59.90,,,,[],https://www.uniqlo.com/my/en/products/E472878-000
E472360-000,Pokémon UT (Short Sleeve Graphic T-shirt),https://image.uniqlo.com/UQ/ST3/my/imagesgoods/472360/item/mygoods_00_472360.jpg?width=320,1,XS-XXL,59.90,,,,[],https://www.uniqlo.com/my/en/products/E472360-000
E471321-000,KAWS + Warhol UT (Short Sleeve Graphic T-shirt),https://image.uniqlo.com/UQ/ST3/my/imagesgoods/471321/item/mygoods_00_471321.jpg?width=320,1,XS-3XL,59.90,,,,[],https://www.uniqlo.com/my/en/products/E471321-000
E467241-000,KENSHI YONEZU UT (Short Sleeve Graphic T-shirt),https://image.uniqlo.com/UQ/ST3/my/imagesgoods/467241/item/mygoods_61_467241.jpg?width=320,1,XS-3XL,59.90,,,,['New'],https://www.uniqlo.com/my/en/products/E467241-000
E466952-000,Harry Potter UT (Short Sleeve Graphic T-shirt),https://image.uniqlo.com/UQ/ST3/my/imagesgoods/466952/item/mygoods_00_466952.jpg?width=320,1,XS-XXL,59.90,,,,[],https://www.uniqlo.com/my/en/products/E466952-000
E466945-000,PEANUTS UT (Short Sleeve Graphic T-shirt),https://image.uniqlo.com/UQ/ST3/my/imagesgoods/466945/item/mygoods_01_466945.jpg?width=320,1,XS-XXL,59.90,,,,[],https://www.uniqlo.com/my/en/products/E466945-000
E466161-000,Star Wars: Remastered by Kosuke Kawamura Oversized UT (Short Sleeve Graphic T-shirt),https://image.uniqlo.com/UQ/ST3/my/imagesgoods/466161/item/mygoods_00_466161.jpg?width=320,1,XS-XXL,59.90,,,,[],https://www.uniqlo.com/my/en/products/E466161-000
E472520-000,PEACE FOR ALL (Takeshi Yoro) (Short Sleeve Graphic T-shirt),https://image.uniqlo.com/UQ/ST3/my/imagesgoods/472520/item/mygoods_00_472520.jpg?width=320,1,S-XXL,59.90,,,,[],https://www.uniqlo.com/my/en/products/E472520-000
E472519-000,PEACE FOR ALL (Khaled Hosseini) (Short Sleeve Graphic T-shirt),https://image.uniqlo.com/UQ/ST3/my/imagesgoods/472519/item/mygoods_60_472519.jpg?width=320,1,XS-XXL,59.90,,,,[],https://www.uniqlo.com/my/en/products/E472519-000
E472518-000,PEACE FOR ALL (Hakuju Kuiseko) (Short Sleeve Graphic T-shirt),https://image.uniqlo.com/UQ/ST3/my/imagesgoods/472518/item/mygoods_00_472518.jpg?width=320,1,XS-XXL,59.90,,,,[],https://www.uniqlo.com/my/en/products/E472518-000
E472517-000,PEACE FOR ALL (Jason Polan) (Short Sleeve Graphic T-shirt),https://image.uniqlo.com/UQ/ST3/my/imagesgoods/472517/item/mygoods_00_472517.jpg?width=320,1,XS-XXL,59.90,,,,[],https://www.uniqlo.com/my/en/products/E472517-000
E472516-000,PEACE FOR ALL (Moomin) (Short Sleeve Graphic T-shirt),https://image.uniqlo.com/UQ/ST3/my/imagesgoods/472516/item/mygoods_10_472516.jpg?width=320,1,S-XXL,59.90,,,,[],https://www.uniqlo.com/my/en/products/E472516-000
E459565-000,PEACE FOR ALL (Jean-Michel Basquiat) (Short Sleeve Graphic T-shirt),https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/459565/item/goods_08_459565.jpg?width=320,1,XS-XXL,59.90,,,,[],https://www.uniqlo.com/my/en/products/E459565-000
E457857-000,PEACE FOR ALL (Hana Tajima) (Short Sleeve Graphic T-shirt),https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/457857/item/goods_10_457857.jpg?width=320,1,XS-XL,59.90,,,,[],https://www.uniqlo.com/my/en/products/E457857-000
E457130-000,PEACE FOR ALL (JW Anderson) (Short Sleeve Graphic T-shirt),https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/457130/item/goods_00_457130.jpg?width=320,1,XS-XXL,59.90,,,,[],https://www.uniqlo.com/my/en/products/E457130-000
E457129-000,PEACE FOR ALL (Christophe Lemaire) (Short Sleeve Graphic T-shirt),https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/457129/item/goods_55_457129.jpg?width=320,1,XS-XXL,59.90,,,,[],https://www.uniqlo.com/my/en/products/E457129-000
E457127-000,PEACE FOR ALL (Ines De La Fressange) (Short Sleeve Graphic T-shirt),https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/457127/item/goods_00_457127.jpg?width=320,1,S-XL,59.90,,,,[],https://www.uniqlo.com/my/en/products/E457127-000
E457126-000,PEACE FOR ALL (Tadao Ando) (Short Sleeve Graphic T-shirt),https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/457126/item/goods_00_457126.jpg?width=320,1,XS-XXL,59.90,,,,[],https://www.uniqlo.com/my/en/products/E457126-000
E457125-000,PEACE FOR ALL (Kosuke Kawamura) (Short Sleeve Graphic T-shirt),https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/457125/item/goods_09_457125.jpg?width=320,1,XS-XXL,59.90,,,,[],https://www.uniqlo.com/my/en/products/E457125-000
E457124-000,PEACE FOR ALL (Kashiwa Sato) (Short Sleeve Graphic T-shirt),https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/457124/item/goods_00_457124.jpg?width=320,1,XS-XXL,59.90,,,,[],https://www.uniqlo.com/my/en/products/E457124-000
E457123-000,PEACE FOR ALL (Rei Inamoto) (Short Sleeve Graphic T-shirt),https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/457123/item/goods_09_457123.jpg?width=320,1,S-XL,59.90,,,,[],https://www.uniqlo.com/my/en/products/E457123-000
E457122-000,PEACE FOR ALL (Shingo Kunieda) (Short Sleeve Graphic T-shirt),https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/457122/item/goods_09_457122.jpg?width=320,1,XS-XL,59.90,,,,[],https://www.uniqlo.com/my/en/products/E457122-000
E457121-000,PEACE FOR ALL (Kei Nishikori) (Short Sleeve Graphic T-shirt),https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/457121/item/goods_00_457121.jpg?width=320,1,XS-XXL,59.90,,,,[],https://www.uniqlo.com/my/en/products/E457121-000
E457120-000,PEACE FOR ALL (Ayumu Hirano) (Short Sleeve Graphic T-shirt),https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/457120/item/goods_69_457120.jpg?width=320,1,XS-XL,59.90,,,,[],https://www.uniqlo.com/my/en/products/E457120-000
E457119-000,PEACE FOR ALL (Adam Scott) (Short Sleeve Graphic T-shirt),https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/457119/item/goods_09_457119.jpg?width=320,1,XS-XL,59.90,,,,[],https://www.uniqlo.com/my/en/products/E457119-000
E457118-000,PEACE FOR ALL (Gordon Reid) (Short Sleeve Graphic T-shirt),https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/457118/item/goods_00_457118.jpg?width=320,1,XS-XXL,59.90,,,,['Limited Store'],https://www.uniqlo.com/my/en/products/E457118-000
E457117-000,PEACE FOR ALL (Shinya Yamanaka) (Short Sleeve Graphic T-shirt),https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/457117/item/goods_00_457117.jpg?width=320,1,XS-XXL,59.90,,,,['Limited Store'],https://www.uniqlo.com/my/en/products/E457117-000
E457111-000,PEACE FOR ALL (Haruki Murakami) (Short Sleeve Graphic T-shirt),https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/457111/item/goods_00_457111.jpg?width=320,1,XS-XXL,59.90,,,,[],https://www.uniqlo.com/my/en/products/E457111-000
E472740-000,AIRism Cotton Cropped Boxy T-shirt | Short Sleeve,https://image.uniqlo.com/UQ/ST3/my/imagesgoods/472740/item/mygoods_11_472740.jpg?width=320,5,XS-3XL,,49.90,,,['VALUE BUY'],https://www.uniqlo.com/my/en/products/E472740-000
E472558-000,Crepe Jersey Sleeveless T-Shirt | Co-ord,https://image.uniqlo.com/UQ/ST3/my/imagesgoods/472558/item/mygoods_30_472558.jpg?width=320,3,XS-XL,,49.90,,,"['Made from recycled materials.', 'VALUE BUY']",https://www.uniqlo.com/my/en/products/E472558-000
E472071-000,Ruffle Sleeve T-Shirt,https://image.uniqlo.com/UQ/ST3/my/imagesgoods/472071/item/mygoods_00_472071.jpg?width=320,1,L,,14.90,,,['VALUE BUY'],https://www.uniqlo.com/my/en/products/E472071-000
E470122-000,Cotton Relaxed Silhouette T-shirt | Half Sleeve,https://image.uniqlo.com/UQ/ST3/my/imagesgoods/470122/item/mygoods_09_470122.jpg?width=320,1,XS,,29.90,,,['VALUE BUY'],https://www.uniqlo.com/my/en/products/E470122-000
E467046-000,Shirring T-shirt | Short Sleeve,https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/467046/item/goods_38_467046.jpg?width=320,5,XS,,29.90,,,['VALUE BUY'],https://www.uniqlo.com/my/en/products/E467046-000
E464437-000,AIRism Cotton Cropped Bra Tube Top,https://image.uniqlo.com/UQ/ST3/my/imagesgoods/464437/item/mygoods_39_464437.jpg?width=320,6,XS-3XL,,79.90,,,['VALUE BUY'],https://www.uniqlo.com/my/en/products/E464437-000
E464426-000,American Sleeve Cropped Bra Sleeveless Top,https://image.uniqlo.com/UQ/ST3/my/imagesgoods/464426/item/mygoods_53_464426.jpg?width=320,7,XS-3XL,,79.90,,,['VALUE BUY'],https://www.uniqlo.com/my/en/products/E464426-000
E473262-000,UTGP2024: The Louvre UT (Short Sleeve Graphic T-shirt),https://image.uniqlo.com/UQ/ST3/my/imagesgoods/473262/item/mygoods_09_473262.jpg?width=320,1,M-XXL,,29.90,,,['VALUE BUY'],https://www.uniqlo.com/my/en/products/E473262-000
E473261-000,UTGP2024: The Louvre UT (Short Sleeve Graphic T-shirt),https://image.uniqlo.com/UQ/ST3/my/imagesgoods/473261/item/mygoods_67_473261.jpg?width=320,1,XS-L,,29.90,,,['VALUE BUY'],https://www.uniqlo.com/my/en/products/E473261-000
E473260-000,UTGP2024: The Louvre UT (Short Sleeve Graphic T-shirt),https://image.uniqlo.com/UQ/ST3/my/imagesgoods/473260/item/mygoods_70_473260.jpg?width=320,1,XS-XXL,,29.90,,,['VALUE BUY'],https://www.uniqlo.com/my/en/products/E473260-000
